id,notation,status,description,label,related,iwxxmVersionInfo
http://codes.wmo.int/iwxxm/CloudType/0,0,experimental,Cirrus (Ci),0,http://codes.wmo.int/bufr4/codeflag/0-20-012/0,2025-2
http://codes.wmo.int/iwxxm/CloudType/1,1,experimental,Cirrocumulus (Cc),1,http://codes.wmo.int/bufr4/codeflag/0-20-012/1,2025-2
http://codes.wmo.int/iwxxm/CloudType/2,2,experimental,Cirrostratus (Cs),2,http://codes.wmo.int/bufr4/codeflag/0-20-012/2,2025-2
http://codes.wmo.int/iwxxm/CloudType/3,3,experimental,Altocumulus (Ac),3,http://codes.wmo.int/bufr4/codeflag/0-20-012/3,2025-2
http://codes.wmo.int/iwxxm/CloudType/4,4,experimental,Altostratus (As),4,http://codes.wmo.int/bufr4/codeflag/0-20-012/4,2025-2
http://codes.wmo.int/iwxxm/CloudType/5,5,experimental,Nimbostratus (Ns),5,http://codes.wmo.int/bufr4/codeflag/0-20-012/5,2025-2
http://codes.wmo.int/iwxxm/CloudType/6,6,experimental,Stratocumulus (Sc),6,http://codes.wmo.int/bufr4/codeflag/0-20-012/6,2025-2
http://codes.wmo.int/iwxxm/CloudType/7,7,experimental,Stratus (St),7,http://codes.wmo.int/bufr4/codeflag/0-20-012/7,2025-2
http://codes.wmo.int/iwxxm/CloudType/8,8,experimental,Cumulus (Cu),8,http://codes.wmo.int/bufr4/codeflag/0-20-012/8,2025-2
http://codes.wmo.int/iwxxm/CloudType/9,9,experimental,Cumulonimbus (Cb),9,http://codes.wmo.int/bufr4/codeflag/0-20-012/9,2025-2
http://codes.wmo.int/iwxxm/CloudType/10,10,experimental,No CH clouds,10,http://codes.wmo.int/bufr4/codeflag/0-20-012/10,2025-2
http://codes.wmo.int/iwxxm/CloudType/11,11,experimental,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky",11,http://codes.wmo.int/bufr4/codeflag/0-20-012/11,2025-2
http://codes.wmo.int/iwxxm/CloudType/12,12,experimental,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus",12,http://codes.wmo.int/bufr4/codeflag/0-20-012/12,2025-2
http://codes.wmo.int/iwxxm/CloudType/13,13,experimental,Cirrus spissatus cumulonimbogenitus,13,http://codes.wmo.int/bufr4/codeflag/0-20-012/13,2025-2
http://codes.wmo.int/iwxxm/CloudType/14,14,experimental,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole",14,http://codes.wmo.int/bufr4/codeflag/0-20-012/14,2025-2
http://codes.wmo.int/iwxxm/CloudType/15,15,experimental,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon",15,http://codes.wmo.int/bufr4/codeflag/0-20-012/15,2025-2
http://codes.wmo.int/iwxxm/CloudType/16,16,experimental,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively Invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered",16,http://codes.wmo.int/bufr4/codeflag/0-20-012/16,2025-2
http://codes.wmo.int/iwxxm/CloudType/17,17,experimental,Cirrostratus covering the whole sky,17,http://codes.wmo.int/bufr4/codeflag/0-20-012/17,2025-2
http://codes.wmo.int/iwxxm/CloudType/18,18,experimental,Cirrostratus not progressively invading the sky and not entirely covering it,18,http://codes.wmo.int/bufr4/codeflag/0-20-012/18,2025-2
http://codes.wmo.int/iwxxm/CloudType/19,19,experimental,"Cirrocumulus alone, or Cirrocumulus predominant among the CH clouds",19,http://codes.wmo.int/bufr4/codeflag/0-20-012/19,2025-2
http://codes.wmo.int/iwxxm/CloudType/20,20,experimental,No CM clouds,20,http://codes.wmo.int/bufr4/codeflag/0-20-012/20,2025-2
http://codes.wmo.int/iwxxm/CloudType/21,21,experimental,Altostratus translucidus,21,http://codes.wmo.int/bufr4/codeflag/0-20-012/21,2025-2
http://codes.wmo.int/iwxxm/CloudType/22,22,experimental,Altostratus opacus or Nimbostratus,22,http://codes.wmo.int/bufr4/codeflag/0-20-012/22,2025-2
http://codes.wmo.int/iwxxm/CloudType/23,23,experimental,Altocumulus translucidus at a single level,23,http://codes.wmo.int/bufr4/codeflag/0-20-012/23,2025-2
http://codes.wmo.int/iwxxm/CloudType/24,24,experimental,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels",24,http://codes.wmo.int/bufr4/codeflag/0-20-012/24,2025-2
http://codes.wmo.int/iwxxm/CloudType/25,25,experimental,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole",25,http://codes.wmo.int/bufr4/codeflag/0-20-012/25,2025-2
